Table;Column;Data Type;Is Nullable;Is Unique;Is Primary Key;Is Foreign Key;Referenced Table.Column;Example 1;Example 2;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;id;int;YES;NO;NO;YES;companies.id;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;token;varchar;YES;NO;NO;YES;company_users.id;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;action;varchar;YES;NO;NO;YES;job_offers.id;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;owner;varchar;YES;NO;NO;YES;partner_universities.id;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;revoked;tinyint;YES;NO;NO;YES;students.id;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;student_id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;company_user_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;company_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;job_offer_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;partner_university_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;expires_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
action_tokens;used_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users;id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users;email;varchar;NO;YES;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users;password;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users;activated;tinyint;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users;last_login;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users;first_name;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users;last_name;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users;created_at;timestamp;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users;updated_at;timestamp;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users;slack_username;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users_sections;id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users_sections;name;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users_sections;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_users_sections;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
